Código ;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON;4.348.260.598;3,651
AZUL4;AZUL;PN N2;317.417.183;0,336
B3SA3;B3;ON NM;2.047.569.597;5,725
BBAS3;BRASIL;ON NM;1.418.466.803;2,605
BBDC3;BRADESCO;ON N1;1.201.182.063;1,446
BBDC4;BRADESCO;PN N1;4.260.957.430;5,745
BBSE3;BBSEGURIDADE;ON NM;671.601.167;1,238
BPAC11;BTGP BANCO;UNT N2;195.774.290;0,555
BRAP4;BRADESPAR;PN N1;222.108.601;0,498
BRDT3;PETROBRAS BR;ON NM;728.125.000;0,932
BRFS3;BRF SA;ON NM;811.416.229;1,137
BRKM5;BRASKEM;PNA N1;264.632.416;0,379
BRML3;BR MALLS PAR;ON NM;840.495.419;0,591
BTOW3;B2W DIGITAL;ON NM;194.586.014;1,01
CCRO3;CCR SA;ON NM;1.115.695.556;1,015
CIEL3;CIELO;ON NM;1.118.386.806;0,345
CMIG4;CEMIG;PN N1;969.723.092;0,641
COGN3;COGNA ON;ON NM;1.730.762.424;0,603
CRFB3;CARREFOUR BR;ON NM;384.888.219;0,581
CSAN3;COSAN;ON NM;153.417.832;0,651
CSNA3;SID NACIONAL;ON;642.387.288;0,344
CVCB3;CVC BRASIL;ON NM;145.151.224;0,132
CYRE3;CYRELA REALT;ON NM;263.583.096;0,279
ECOR3;ECORODOVIAS;ON NM;171.079.276;0,133
EGIE3;ENGIE BRASIL;ON NM;254.813.401;0,736
ELET3;ELETROBRAS;ON N1;324.865.142;0,535
ELET6;ELETROBRAS;PNB N1;225.964.766;0,426
EMBR3;EMBRAER;ON NM;735.918.554;0,46
ENBR3;ENERGIAS BR;ON NM;295.402.225;0,357
EQTL3;EQUATORIAL;ON NM;1.010.186.085;1,37
FLRY3;FLEURY;ON NM;303.938.218;0,531
GGBR4;GERDAU;PN N1;1.029.880.805;0,851
GNDI3;INTERMEDICA;ON NM;458.380.483;1,803
GOAU4;GERDAU MET;PN N1;662.644.908;0,243
GOLL4;GOL;PN N2;134.613.917;0,109
HAPV3;HAPVIDA;ON NM;217.060.254;0,82
HGTX3;CIA HERING;ON NM;126.302.831;0,127
HYPE3;HYPERA;ON NM;407.518.048;0,924
IGTA3;IGUATEMI;ON NM;86.913.923;0,212
IRBR3;IRBBRASIL RE;ON NM;931.245.594;0,638
ITSA4;ITAUSA;PN N1;4.494.029.326;2,853
ITUB4;ITAUUNIBANCO;PN N1;4.738.562.684;7,477
JBSS3;JBS;ON NM;1.620.646.499;2,638
KLBN11;KLABIN S/A;UNT N2;637.772.642;0,831
LAME4;LOJAS AMERIC;PN N1;696.121.215;1,184
LREN3;LOJAS RENNER;ON NM;781.384.541;2,224
MGLU3;MAGAZ LUIZA;ON NM;661.834.080;2,37
MRFG3;MARFRIG;ON NM;423.143.092;0,334
MRVE3;MRV;ON NM;289.811.954;0,285
MULT3;MULTIPLAN;ON N2;270.279.854;0,42
NTCO3;GRUPO NATURA;ON NM;348.939.652;0,876
PCAR3;P.ACUCAR-CBD;ON NM;156.504.298;0,796
PETR3;PETROBRAS;ON N2;2.731.490.625;3,317
PETR4;PETROBRAS;PN N2;4.520.185.835;5,448
QUAL3;QUALICORP;ON NM;280.735.698;0,545
RADL3;RAIADROGASIL;ON NM;213.553.757;1,687
RAIL3;RUMO S.A.;ON NM;1.053.753.059;1,636
RENT3;LOCALIZA;ON NM;560.843.706;1,398
SANB11;SANTANDER BR;UNT;362.227.661;0,642
SBSP3;SABESP;ON NM;339.982.576;0,97
SMLS3;SMILES;ON NM;58.842.428;0,062
SULA11;SUL AMERICA;UNT N2;278.742.752;0,933
SUZB3;SUZANO S.A.;ON NM;725.859.318;2,146
TAEE11;TAESA;UNT N2;218.568.274;0,449
TIMP3;TIM PART S/A;ON NM;807.711.660;0,745
TOTS3;TOTVS;ON NM;134.465.885;0,54
UGPA3;ULTRAPAR;ON NM;1.085.159.631;1,106
USIM5;USIMINAS;PNA N1;513.781.576;0,169
VALE3;VALE;ON NM;3.158.277.584;10,444
VIVT4;TELEF BRASIL;PN;415.131.868;1,428
VVAR3;VIAVAREJO;ON NM;1.148.258.639;0,554
WEGE3;WEG;ON NM;740.696.136;2,167
YDUQ3;YDUQS PART;ON ED NM;299.667.897;0,612
Quantidade Teórica Total;;;66.190.283.179;100
Redutor;;;17.566.040,49;
